titelNews
" كيف اتخذت الإمارات من اليمن محطة عبور إلى السودان؟.. هذه تفاصيل زيارة ""حميدتي"" إلى المخا  كشف مصدران يمنيان مطلعان أن قائد قوات ""الدعم السريع"" السودانية، محمد حمدان دقلو، زار اليمن بالتنسيق مع دولة الإمارات في أثناء مشاركة قوات الجيش السوداني ضمن عمليات التحالف العربي التي قادتها السعودية ضد الحوثيين منذ 2015، وفق ما أفاد موقع عربي 21. "
" في ختام زيارة إقليمية.. رئيس بعثة ""أونمها"" يجدد التزامه ببذل كل الجهود لإحلال السلام والاستقرار في الحديدة  جدد رئيس بعثة الأمم المتحدة لدعم اتفاق الحديدة (أونمها)، الجنرال مايكل بيري، اليوم الجمعة، التزام البعثة بدعم تنفيذ اتفاق الحُديدة وبذل كل الجهود لإحراز تقدم في السلام والاستقرار في المحافظة المشاطئة للبحر الأحمر، غربي اليمن. "
 الرئاسي اليمني يدعو المجتمع الدولي إلى اتخاذ إجراءات عاجلة للحد من أنشطة الحوثيين الإرهابية  جدد مجلس القيادة الرئاسي اليمني، دعوة المجتمع الدولي إلى إعادة تقييم موقفه من مليشيا الحوثي الإرهابية والقيام بإجراءات عاجلة على مختلف الأصعدة للحد من تحركاتها الإرهابية المزعزعة للأمن والاستقرار في اليمن والمنطقة. 
 عيدروس الزبيدي خلال لقائه قيادة الإصلاح: استعادة الدولة وإنهاء الانقلاب أولويتنا   أكد نائب رئيس مجلس القيادة الرئاسي، اللواء عيدروس الزبيدي، أن استعادة الدولة وإنهاء انقلاب مليشيا الحوثي يجب أن يكون أولوية لدى كل القوى والمكونات. 
 مقتل جنديين وإصابة آخر من قوات الانتقالي في هجوم مسلح بأبين   قتل جنديان وأصيب آخر، الليلة الماضية، في هجومين منفصلين من قبل عناصر يعتقد انتماؤهم لتنظيم القاعدة على مواقع لقوات المجلس الانتقالي في أبين. 
 نيوزيلندا تصنف الحوثيين منظمة إرهابية.. ومسؤول أمريكي رفيع يؤكد: سنواصل انتزاع قدرة الحوثيين على شن هجمات من اليمن   صنّفت حكومة نيوزيلندا رسميًا حزب الله، بجناحيه العسكري والسياسي، وكذلك جماعة الحوثي المتمردة في اليمن، كمنظمات إرهابية. 
 الزبيدي يناقش مع السفير التركي تدشين خط ملاحي من اسطنبول إلى مطار عدن الدولي  ناقش عضو مجلس القيادة الرئاسي، اللواء عيدروس الزُبيدي، اليوم الأربعاء، مع السفير التركي لدى اليمن، مصطفى بولات، الآليات الممكنة لتدشين خط ملاحي تركي من وإلى مطار عدن الدولي. 
 رئاسة البرلمان تناقش الترتيبات اللازمة لاستئناف انعقاد جلسات المجلس وتلتقي السفير السعودي لدى اليمن  ناقشت هيئة رئاسة مجلس النواب، اليوم الأربعاء، الترتيبات اللازمة لاستئناف انعقاد جلسات المجلس، للقيام بمهامه التشريعية والرقابية في ظل الظروف الراهنة. 
 المملكة المتحدة تعلن عن حزمة دعم جديدة لقوات خفر السواحل اليمني  أعلنت المملكة المتحدة، اليوم الأربعاء، عن حزمة دعم جديدة لقوات خفر السواحل اليمني، للمساعدة في منع القرصنة وعمليات التهريب التي تهدد الاستقرار. 
" المركزي اليمني يصدر بيانا بشأن مزاعم ""تهريب أموال"" ويتوعد بمقاضاة قيادي في المجلس الانتقالي الجنوبي  أصدر البنك المركزي اليمني، الأربعاء، بيانا توضيحيا بشأن ما نشره القيادي في المجلس الانتقالي الجنوبي فادي باعوم حول مزاعم ""تهريب أموال عبر المنافذ الرسمية""، معتبرا أن ما نشره يندرج ضمن عملية تخريب تستوجب المساءلة والمحاسبة "
